site,mm_code,WW,IB1,FB693,FB9301,FB1591,ULT,Si_remaining,SBB,N_TESTED,total_tested,yield_sdhmt%,SBB_sdhmt%,ULT_sdhmt%,IOE_chipping_sdhmt%,Si_remaining_sdhmt%,yield_loss_sdhmt%,WLA_site,test_end_ww,class_total_tested,class_8.0,class_10.0,class_15.0,class_53.0,class_97.0,class_98.0,class_99.0,class_36.0,class_1594.0,class_902.0,class_912.0,class_900.0,class_9.0_excluded,class_WIYL,class_sdhmt_sampling,class_SBB,class_Si_remaining,total_WLA_EYL,total_WLA_EY,total_SBB,total_Si_remainig,total_ULT,total_IOE_chipping
D1V,ARROW LAKE-BASE-P281,202515,68818,70247,8109,1,3,125,259,147630,69274,0.9934174437739989,0.0037387764529260618,4.3306290960533534e-05,1.4435430320177845e-05,0.0018044287900222306,0.006582556226001124,D1V,202515,106044.0,0.00039223463676895786,0.0004832059101451765,0.0005103516370266678,8.590327291469805e-05,4.2951636457349025e-05,-0.00020231431238713224,0.0025980219793726262,0.0020096949651663425,0.0,0.0017917091018822375,0.0,0.0,0.0001627745975003345,0.007874533424847258,0.12179849873637358,0.005483157491453103,0.0018346607383395866,0.007717172541626173,0.9922828274583738,0.0052706944997363125,0.001830978532420657,8.071502446198042e-05,1.7582137416111901e-06
D1V,ARROW LAKE-BASE-P281,202516,99220,168588,16013,1,0,300,1512,285714,101113,0.981278371722726,0.014953566801499313,0.0,9.889925133266741e-06,0.0029669775399800225,0.01872162827727397,D1V,202516,163207.0,0.0005146070292650097,0.00048755130188354943,0.0005179769023417231,3.3859968713388906e-05,-3.726208937935322e-05,-2.0348228817284187e-05,0.003609375922079505,0.0022550094211331996,1.3543987485355563e-05,0.0034067166236742296,0.0,0.0,0.0003080128487294611,0.01107549969962343,0.0952165041940603,0.006866543674361264,0.0033694545342948766,0.011803537333405618,0.9881964626665943,0.007636561745863867,0.003331132081877684,3.063594086037976e-05,1.3196060442082541e-05
D1V,ARROW LAKE-BASE-P281,202517,95789,164612,15945,2,3,226,1499,278166,97609,0.9813541784056798,0.015357190423014271,3.073487075986845e-05,2.0489913839912304e-05,0.00231536026391009,0.018645821594320156,D1V,202517,263860.0,0.00030738786038823267,-3.695877056374749e-06,0.0007975831636668363,3.290461363813974e-05,-3.177997987364223e-05,3.814232410740471e-05,0.001946995373472732,0.002449529906865638,8.226153409534935e-06,0.0011634957932236793,0.0,0.0,0.00026773544416310794,0.006968298622595753,0.07857575987265975,0.004700217263670228,0.001131715813350037,0.007885868863529438,0.9921141311364705,0.005537597027608226,0.00122472157547185,3.2734124442751285e-05,9.189787704248094e-06
D1V,ARROW LAKE-BASE-P281,202518,63274,87409,8644,1,6,195,222,159840,63787,0.9919576089171774,0.003480332983209745,9.406305360026337e-05,1.5677175600043897e-05,0.00305704924200856,0.008042391082822564,D1V,202518,302154.0,0.00026504294626761765,0.0004681242477346656,0.00037118327605699733,2.3816044869428533e-05,1.5812871238595144e-05,3.711372780809238e-06,0.00029660419673711744,0.0021066880988213767,1.1908022434714266e-05,0.0016018321782931882,0.0,0.0,0.0001259870338472368,0.0052788022666470326,0.16621656506284874,0.003136459489560777,0.0016176450495317834,0.005738156506917834,0.9942618434930822,0.0031936169604912697,0.0018568978701423368,3.5492261366607846e-05,1.2534518127051121e-05
D1V,ARROW LAKE-BASE-P281,202519,104157,144173,14609,0,10,288,363,263736,104954,0.9924061970005907,0.003458658078777369,9.527983688091927e-05,0.0,0.0027440593021704745,0.00759380299940926,D1V,202519,140499.0,0.0003117082737720154,0.00028893785876666684,0.00045793701880728673,-9.012902111294719e-06,-6.9905908567390095e-06,-2.9459683476275946e-06,0.0005960765188243351,0.0022864864750540064,3.310564009755129e-05,0.0009679784197752297,0.0,0.0,-7.874381361027284e-05,0.004811431290073606,0.3550203204293269,0.0034832091264170237,0.0009609878289184908,0.005799229785875444,0.9942007702141246,0.0034744930056171174,0.0015940144347008018,2.8013139504173253e-05,2.1352465142100653e-05
D1V,ARROW LAKE-BASE-P281,202520,66855,114582,9388,0,4,267,214,191364,67394,0.9920022553936553,0.0031753568566934742,5.9352464611092976e-05,0.0,0.003961777012790456,0.007997744606344726,D1V,202520,222486.0,9.92701113706062e-05,0.00023890270570612996,0.0002756623302788174,9.238995407941981e-06,2.817557826297869e-05,-3.28932544964899e-05,0.0006643538098067188,0.0024362684206135085,7.338749330339124e-06,0.0011776021862049746,0.0,0.0,0.0002526630202885028,0.005149243903443689,0.3875434858822578,0.0034387950474969635,0.0012057777644679532,0.006253161795384019,0.993746838204616,0.003336701292718464,0.002273847320251738,2.866014395258429e-05,4.494664832843415e-06
D1V,ARROW LAKE-BASE-P281,202521,85014,159399,12327,1,3,261,280,257520,85794,0.9909084551367229,0.0032636314893815417,3.4967480243373666e-05,1.165582674779122e-05,0.0030421707811735085,0.009091544863277123,D1V,202521,312126.0,2.0850520079514494e-05,0.00026561965861520126,-3.251702120470805e-05,3.652320005843712e-05,-6.166856978165345e-06,-3.083428489082672e-05,0.0004297284613215981,0.002544997262873161,5.21760000834816e-06,0.0012559030647879383,0.0,0.0,0.00024592754647996415,0.004730031551142114,0.3859563125148177,0.0032611959028894747,0.001249736207809773,0.0064133851460780305,0.993586614853922,0.0032621359328707635,0.0019415376461693109,3.592276017530899e-05,7.702474259837902e-06
D1V,ARROW LAKE-BASE-P281,202522,124370,157248,14435,0,3,493,395,297258,125575,0.9904041409516225,0.0031455305594266375,2.389010551463269e-05,0.0,0.003925940672904638,0.009595859048377453,D1V,202522,282473.0,0.00015624763147641308,0.00038236297372776473,0.00017667689631979103,5.199967644645767e-05,-4.312589525784799e-06,-2.7340689456308186e-05,0.0004110671458205348,0.002639561736752191,0.0,0.0013311006715686102,0.0,0.0,0.00018375405569074791,0.005301117508820417,0.3872759520378939,0.003589239487776903,0.0013267880820428254,0.006964367627309058,0.993035632372691,0.00341740169012234,0.0023333773761605925,4.111351560245844e-05,0.0
D1V,ARROW LAKE-BASE-P281,202523,61541,95272,8665,0,7,188,194,166056,62119,0.9906952784172315,0.0031230380398911766,0.00011268693958370225,0.0,0.0030264492345337176,0.009304721582768516,D1V,202523,59468.0,0.00043240252680815637,0.00030913633870672716,-0.00011076085673761423,-9.63137884674906e-06,0.0,-8.205316331951847e-05,0.000635220811956341,0.0018813975456299988,0.0,0.0013620770834734646,0.0,0.0,0.0005096400007043002,0.004927428908375106,0.4643842066321383,0.003258157223101223,0.0013620770834734646,0.0069601744941699606,0.99303982550583,0.003195410008405443,0.0021349852243842055,4.717131641415333e-05,0.0
D1V,ARROW LAKE-BASE-P281,202524,78171,114704,12319,1,5,272,255,205794,78771,0.9923829835853296,0.0032372319762349086,6.347513678891978e-05,1.2695027357783956e-05,0.003453047441317236,0.007617016414670386,D1V,202524,183880.0,8.653113269333716e-05,0.0002628076206146434,0.0004025443003878941,4.1382746867743084e-05,4.8370464693949515e-06,1.5048807247387719e-05,0.00033590098549477057,0.0020272130005133467,9.136425099587034e-06,0.0015009788992821405,0.0,0.0,0.000426727568651438,0.005103972108222096,0.4047639765064172,0.0027124527393160977,0.0015058159457515354,0.006121161914836917,0.9938788380851631,0.0029248644700393587,0.0022939851090752464,5.0324950462768855e-05,1.0576819100419536e-05
